corpus,cid,param,beta,k
xling,croation-cro-croation-cro-2015_14.parquet,Intercept,-0.49957213396339617,49256
xling,croation-cro-croation-cro-2015_14.parquet,self,-0.06613933500735691,49256
xling,croation-cro-croation-cro-2015_14.parquet,other,-0.039824780153755755,49256
xling,croation-cro-croation-cro-2015_14.parquet,turn_delta,0.007952040486667642,49256
xling,callhome-deu-callhome-deu-4028.parquet,nx,0.1636183627045188,30051
xling,callhome-deu-callhome-deu-4028.parquet,Intercept,-0.4231665864562813,30051
xling,callhome-deu-callhome-deu-4028.parquet,self,-0.13526790798222718,30051
xling,callhome-deu-callhome-deu-4028.parquet,other,-0.08767327157595028,30051
xling,callhome-deu-callhome-deu-4028.parquet,turn_delta,0.014567225739768435,30051
callhome,callhome-6067.parquet,nx,0.16511146319800732,43185
callhome,callhome-6067.parquet,Intercept,-0.45667004541023926,43185
callhome,callhome-6067.parquet,self,-0.014669926896354034,43185
callhome,callhome-6067.parquet,other,-0.011112837513381183,43185
callhome,callhome-6067.parquet,turn_delta,0.003907645206502957,43185
xling,callhome-deu-callhome-deu-4124.parquet,nx,0.15180004069613154,4835
xling,callhome-deu-callhome-deu-4124.parquet,Intercept,-0.20025094162278081,4835
xling,callhome-deu-callhome-deu-4124.parquet,self,-0.5552925805531952,4835
xling,callhome-deu-callhome-deu-4124.parquet,other,-0.11458666355184084,4835
xling,callhome-deu-callhome-deu-4124.parquet,turn_delta,0.03351034103230598,4835
xling,finchat-fin-finchat-fin-41.parquet,nx,0.1607588921832295,1159
xling,finchat-fin-finchat-fin-41.parquet,Intercept,-0.334474432518143,1159
xling,finchat-fin-finchat-fin-41.parquet,self,-0.3082565315661349,1159
xling,finchat-fin-finchat-fin-41.parquet,other,-0.31846364172621316,1159
xling,finchat-fin-finchat-fin-41.parquet,turn_delta,0.05056806394578861,1159
xling,callhome-deu-callhome-deu-4405.parquet,nx,0.15557823376531343,12090
xling,callhome-deu-callhome-deu-4405.parquet,Intercept,-0.34261526116695196,12090
xling,callhome-deu-callhome-deu-4405.parquet,self,-0.11641622684068778,12090
xling,callhome-deu-callhome-deu-4405.parquet,other,-0.09277896031935409,12090
xling,callhome-deu-callhome-deu-4405.parquet,turn_delta,0.004170718461848961,12090
xling,callfriend-spa-s-callfriend-spa-s-5070.parquet,nx,0.15294220368833455,76244
xling,callfriend-spa-s-callfriend-spa-s-5070.parquet,Intercept,-0.41381203602592126,76244
xling,callfriend-spa-s-callfriend-spa-s-5070.parquet,self,-0.145052310578191,76244
xling,callfriend-spa-s-callfriend-spa-s-5070.parquet,other,-0.1255142741043136,76244
xling,callfriend-spa-s-callfriend-spa-s-5070.parquet,turn_delta,0.018887900458863724,76244
xling,callfriend-ko-callfriend-ko-6626.parquet,nx,0.14437140511777252,26096
xling,callfriend-ko-callfriend-ko-6626.parquet,Intercept,-0.1156846808146003,26096
xling,callfriend-ko-callfriend-ko-6626.parquet,self,-0.5907910552815443,26096
xling,callfriend-ko-callfriend-ko-6626.parquet,other,-0.3227100500605584,26096
xling,callfriend-ko-callfriend-ko-6626.parquet,turn_delta,0.014138259935419381,26096
xling,callfriend-spa-s-callfriend-spa-s-4414.parquet,nx,0.1606090648455545,73389
