corpus,param,beta,std,k,se,t,p
Graesser,self,-0.16613445383909245,0.10394832114691117,3,0.060014591195978836,-2.7682343664822624,0.054739530421246574
Graesser,turn_delta_other,-0.016032173324181453,0.014974393677227887,3,0.008645470220498951,-1.8544015438475707,0.10242228164493994
Graesser,turn_delta_self,0.0200683095078986,0.029575368337722615,3,0.017075346871166488,1.1752797562072397,0.18042666768981397
MICASE,Intercept,0.12531907699647657,0.3478957587839164,152,0.02821807219764594,4.441092790418587,8.599445679768891e-06
MICASE,nx,0.1523572037805488,0.010784613408665232,152,0.0008747476567497756,174.17274868348812,0.0
MICASE,ny,-0.02532701438009547,0.005418113715177843,152,0.00043946705336211266,-57.63120167105333,0.0
MICASE,other,-0.11757641408238208,0.21506979057342615,152,0.017444463534558335,-6.740041839031475,1.5687051657664597e-10
MICASE,self,-0.42922426391464796,0.25091303418797944,152,0.02035173449310282,-21.090303829391623,0.0
MICASE,turn_delta_other,0.012400471487360324,0.035482387483707134,152,0.0028780016613596765,4.308708939904459,1.4732046647369934e-05
MICASE,turn_delta_self,0.045150748742013386,0.03470952144884545,152,0.0028153139481001963,16.037553741557524,0.0
SBCSAE,Intercept,-0.2643508186047331,0.15426876432960596,60,0.019916011836285354,-13.2732808545086,0.0
SBCSAE,nx,0.1661723938929543,0.00805669546391644,60,0.001040114911907107,159.76349535097827,0.0
SBCSAE,ny,-0.018252230405231537,0.004905619320398844,60,0.0006333127310246022,-28.820248687725332,0.0
SBCSAE,other,0.014058176342954597,0.07819290457387537,60,0.010094660573540169,1.3926348727171156,0.08447820118380445
SBCSAE,self,-0.1851078048587629,0.14039595763847293,60,0.018125040193621586,-10.212821758260404,5.773159728050814e-15
SBCSAE,turn_delta_other,-0.00011950273766809539,0.014505477688968876,60,0.0018726491172719902,-0.0638148046881216,0.4746667041296051
SBCSAE,turn_delta_self,0.022779369029910124,0.017135694929427115,60,0.00221220870291207,10.297115728694225,4.218847493575595e-15
SCoSE,Intercept,-0.11338243521634801,0.17678973735207335,32,0.03125230553145993,-3.6279702661364395,0.0005074907110312887
SCoSE,nx,0.14974679169829508,0.015832413888348926,32,0.0027988018057508997,53.5038927696129,0.0
SCoSE,ny,-0.02230293032014487,0.0064020776959249235,32,0.0011317381381179153,-19.7067939737674,0.0
SCoSE,other,-0.05338589700846372,0.11053709778396953,32,0.019540382853931337,-2.732080400242669,0.00514796787802807
SCoSE,self,-0.2540403922355527,0.31221999643560316,32,0.05519321917541367,-4.602746424849184,3.34212251181798e-05
SCoSE,turn_delta_other,0.0018501944246239646,0.023424309025350424,32,0.004140871939108633,0.44681276113606133,0.32905815802815885
SCoSE,turn_delta_self,0.07345360215518963,0.2600299492041642,32,0.0459672350984645,1.5979556307410643,0.06009869535008694
callfriend,Intercept,-0.28173200462160697,0.10643462944724409,40,0.016828792548465976,-16.741070627036052,0.0
callfriend,nx,0.16207332025738205,0.011381788376350158,40,0.0017996187557648116,90.05980835563322,0.0
callfriend,ny,-0.018600858624213856,0.004381036981010927,40,0.0006927027686711186,-26.85258304928931,0.0
callfriend,other,0.03371527454659337,0.11255429811432584,40,0.017796397124143225,1.8945000109518815,0.032795498584748506
callfriend,self,-0.14202268543519453,0.10098417112678942,40,0.015966999419243344,-8.894763612506276,3.1638469621952936e-11
callfriend,turn_delta_other,-0.008610876838819111,0.023206318377474184,40,0.003669241108992076,-2.3467732381272923,0.012054878749507392
callfriend,turn_delta_self,0.025901733441487752,0.027432733971002415,40,0.004337496089692156,5.971586580341118,2.835825783087387e-07
callhome,Intercept,-0.15526367216827663,0.106105362696019,176,0.007997992643346993,-19.41283008023649,0.0
callhome,nx,0.15677589149260507,0.0072057757550428375,176,0.0005431557841572039,288.6389063054328,0.0
callhome,ny,-0.025452444009044214,0.006092860890025288,176,0.00045926666981919854,-55.41974996588406,0.0
callhome,other,0.062342707902124816,0.09546243535341493,176,0.007195751810018994,8.66382131403171,1.4432899320127035e-15
callhome,self,-0.1282977626312985,0.08223627427223154,176,0.0061987924072215705,-20.697218781166484,0.0
callhome,turn_delta_other,-0.00845664801864273,0.017521403558906763,176,0.0013207254864838977,-6.403032352435666,6.776901262384172e-10
callhome,turn_delta_self,0.023686479379134717,0.019637762778219582,176,0.0014802520649400362,16.001652651026184,0.0
grace,Intercept,-0.16332762433275025,0.20791344433821451,70,0.0248504096938288,-6.572431857061497,3.925074376631699e-09
grace,nx,0.16652474903058648,0.01170176527515543,70,0.0013986284636581523,119.06289150946942,0.0
grace,ny,-0.020033046647505586,0.005454424454186705,70,0.0006519284155097084,-30.728905460951268,0.0
grace,other,-0.0927999544553816,0.19578204866991178,70,0.023400430576437724,-3.9657370471132865,8.819929327275045e-05
grace,self,-0.16186825475049973,0.1719832133518755,70,0.020555925692342245,-7.874530058784993,1.6953660697538453e-11
grace,turn_delta_other,0.005630482773238318,0.023049334881311348,70,0.0027549224476272494,2.043789936115161,0.02239687749749042
grace,turn_delta_self,0.013675714580768007,0.017885535066717605,70,0.0021377303204994412,6.397305801216745,8.073853252632546e-09
med_school,Intercept,-0.1579565145423831,0.17983912845374203,3,0.10383016922359566,-1.5212968997693506,0.13379304638664402
