corpus,cid,param,beta,k
CANDOR,CANDOR-3-aa0147bf-1fd7-4690-a994-8d5a31592cf5.parquet,turn_delta,0.015233261652627427,70880
CANDOR,CANDOR-25-f77a4b03-ad8f-438a-a85b-20c055aeed48.parquet,nx,0.1013324573763916,40220
CANDOR,CANDOR-25-f77a4b03-ad8f-438a-a85b-20c055aeed48.parquet,Intercept,0.23813499739009442,40220
CANDOR,CANDOR-25-f77a4b03-ad8f-438a-a85b-20c055aeed48.parquet,self,-0.3325449183000178,40220
CANDOR,CANDOR-25-f77a4b03-ad8f-438a-a85b-20c055aeed48.parquet,other,-0.015072183932669863,40220
CANDOR,CANDOR-25-f77a4b03-ad8f-438a-a85b-20c055aeed48.parquet,turn_delta,0.02390732826186418,40220
CABNC,CABNC-KC3RE007-KC3.parquet,nx,0.16590848330307412,3880
CABNC,CABNC-KC3RE007-KC3.parquet,Intercept,-0.4055980431623305,3880
CABNC,CABNC-KC3RE007-KC3.parquet,self,-0.43617837719945485,3880
CABNC,CABNC-KC3RE007-KC3.parquet,other,-0.32628395552054057,3880
CABNC,CABNC-KC3RE007-KC3.parquet,turn_delta,0.09023610278236911,3880
CABNC,CABNC-KB2RE00C-KB2.parquet,nx,0.16769837635104043,75900
CABNC,CABNC-KB2RE00C-KB2.parquet,Intercept,-0.4385274988580535,75900
CABNC,CABNC-KB2RE00C-KB2.parquet,self,-0.10930618959530923,75900
CABNC,CABNC-KB2RE00C-KB2.parquet,other,-0.027532585092066752,75900
CABNC,CABNC-KB2RE00C-KB2.parquet,turn_delta,0.007069077118371496,75900
CANDOR,CANDOR-2-3b130d42-5bfd-41c0-a5a0-30779f70b65a.parquet,nx,0.1402398993729474,27253
CANDOR,CANDOR-2-3b130d42-5bfd-41c0-a5a0-30779f70b65a.parquet,Intercept,-0.44204648842617933,27253
CANDOR,CANDOR-2-3b130d42-5bfd-41c0-a5a0-30779f70b65a.parquet,self,-0.30211462252071986,27253
CANDOR,CANDOR-2-3b130d42-5bfd-41c0-a5a0-30779f70b65a.parquet,other,-0.2518248380451195,27253
CANDOR,CANDOR-2-3b130d42-5bfd-41c0-a5a0-30779f70b65a.parquet,turn_delta,0.03013797429835209,27253
callfriend,eng_n-callfriend-eng_n-5051.parquet,nx,0.18592723080934836,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,Intercept,-0.6216817355470025,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,self,0.06818617311021546,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,other,0.19784660469126042,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,turn_delta,-0.03844375351276257,2720
callfriend,eng_n-callfriend-eng_n-6372.parquet,nx,0.1842878026713659,4636
